Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,return,log return
15-Oct-12,51.95,52.45,51.8,52.2,52.17118556,522953,2379,27283078,291086,55.66,0.65,0.25,0.006750241,0.002921742
16-Oct-12,52,54.15,52,53.2,53.45107312,3130743,13039,167341573,1020123,32.58,2.15,1.2,0.019157088,0.008241129
17-Oct-12,53.7,54.95,52.55,54.45,53.87093485,2192017,9136,118086005,729429,33.28,2.4,0.75,0.023496241,0.010086252
18-Oct-12,54.95,55.8,54.25,55.05,55.20401137,2925935,11955,161523349,1029709,35.19,1.55,0.1,0.011019284,0.004759439
19-Oct-12,55,55.6,53.7,54.05,54.74597999,1618093,7044,88584087,613692,37.93,1.9,-0.95,-0.018165304,-0.007961625
22-Oct-12,54.45,54.7,53.45,54,54.02334538,817378,3795,44157494,395767,48.42,1.25,-0.45,-0.000925069,-0.000401938
23-Oct-12,54.4,56.9,54.1,55.75,55.99030064,3002054,12982,168085906,862566,28.73,2.8,1.35,0.032407407,0.013851112
25-Oct-12,56.2,56.9,56,56.2,56.40517121,1279622,6130,72177298,517915,40.47,0.9,0,0.008071749,0.003491444
26-Oct-12,55.8,56.8,54.7,55,55.70688476,942735,4622,52516830,371540,39.41,2.1,-0.8,-0.021352313,-0.009373626
29-Oct-12,55.4,55.75,54.4,54.85,55.20704979,609607,3460,33654604,249859,40.99,1.35,-0.55,-0.002727273,-0.001186058
30-Oct-12,55,55.05,52,54,53.97583789,870164,4347,46967831,341481,39.24,3.05,-1,-0.015496809,-0.006782872
31-Oct-12,54,54.9,53.25,54.1,54.02923852,618978,3499,33442910,220101,35.56,1.65,0.1,0.001851852,0.000803505
1-Nov-12,54.2,55.25,54,54.3,54.66692163,530794,2973,29016874,216949,40.87,1.25,0.1,0.003696858,0.001602564
2-Nov-12,54.5,54.9,53.75,54,54.42578017,544046,2506,29610128,279624,51.4,1.15,-0.5,-0.005524862,-0.00240607
5-Nov-12,54.55,55.65,54.15,54.8,54.94701176,836412,4005,45958340,298718,35.71,1.5,0.25,0.014814815,0.006386799
6-Nov-12,54.95,55.75,54.95,55.65,55.46647059,571200,2912,31682448,219499,38.43,0.8,0.7,0.015510949,0.00668461
7-Nov-12,55.8,59.8,55.75,59.4,58.23019986,4935785,18116,287411747,1480971,30,4.05,3.6,0.067385445,0.028321276
8-Nov-12,58.85,63.7,58.15,62.35,61.50808463,8912905,36565,548215715,1889657,21.2,5.55,3.5,0.0496633,0.021050013
9-Nov-12,62.9,65,62.15,64.2,64.13917042,6352715,24501,407457870,1433904,22.57,2.85,1.3,0.029671211,0.01269857
